City,Month,Product_Type,Marketing_Channel,Customer_Income_Level,Marketing_Budget_INR,Discount_Rate,Conversion_Rate,Num_Sales,Sales_Revenue_INR,ROI,Customer_Age
Pune,2023-12,Furniture,Outdoor,Low,965241,0.23,0.041,48677,149925160,155.32,40
Chennai,2023-07,Electronics,Print,Medium,1737693,0.19,0.03,62035,251241750,144.58,65
Ahmedabad,2023-09,Furniture,Print,Low,2716228,0.17,0.147,467164,1550984480,571.01,22
Bangalore,2023-03,Electronics,Digital,High,2396096,0.22,0.016,46771,182406900,76.13,53
Pune,2023-02,Healthcare,Outdoor,Medium,968117,0.25,0.075,90760,238245000,246.09,22
Kanpur,2023-07,Furniture,Digital,High,2864960,0.29,0.07,258705,734722200,256.45,30
Kolkata,2023-07,Healthcare,TV,Medium,588859,0.21,0.06,42751,118206515,200.74,65
Pune,2023-04,Furniture,Digital,High,1668381,0.27,0.119,252142,736254640,441.3,65
Ahmedabad,2023-11,FMCG,TV,Low,898595,0.05,0.114,107561,153274425,170.57,40
Bangalore,2023-09,Electronics,Print,Low,2533740,0.18,0.137,409604,1679376400,662.81,30
Chennai,2023-08,FMCG,Digital,High,636063,0.1,0.065,45478,61395300,96.52,53
Ahmedabad,2023-01,Electronics,Digital,Low,2014122,0.07,0.089,191804,891888600,442.82,40
Ahmedabad,2023-01,Clothing,Radio,Low,2451142,0.18,0.135,390466,640364240,261.25,30
Kolkata,2023-05,Furniture,Print,High,2169513,0.24,0.149,400839,1218550560,561.67,40
Hyderabad,2023-06,Clothing,Radio,Medium,1117801,0.15,0.146,187678,319052600,285.43,22
Bangalore,2023-03,Clothing,TV,High,790503,0.22,0.11,106085,165492600,209.35,30
Mumbai,2023-09,Electronics,TV,Medium,2714212,0.17,0.03,95268,395362200,145.66,53
Ahmedabad,2023-12,FMCG,Print,Low,1991094,0.16,0.013,30025,37831500,19.0,53
Hyderabad,2023-10,Healthcare,TV,Low,2685211,0.12,0.126,378936,1167122880,434.65,30
Mumbai,2023-06,Electronics,Print,Low,1752383,0.15,0.128,257950,1096287500,625.6,40
Bangalore,2023-04,Healthcare,TV,Low,1502307,0.14,0.114,195239,587669390,391.18,65
Delhi,2023-12,Clothing,Outdoor,Low,907349,0.21,0.049,53796,84997680,93.68,30
Kanpur,2023-07,Healthcare,Digital,Medium,2812763,0.08,0.1,303778,978165160,347.76,53
Hyderabad,2023-08,FMCG,Outdoor,Medium,1154932,0.07,0.054,66731,93089745,80.6,22
Surat,2023-09,Electronics,Print,Medium,2094735,0.22,0.073,186557,727572300,347.33,53
